Year,ID,National,Position,PY,WY,CE/PL/UPL,Sex,R&D/Non R&D,WP,Birth,SCHLafterEPY,School,CORE,LP,RCMD,Performance,EDU,EmployBenifits,Retention,Married,HP,Core,Jobtype,Fresh/Exprnc,Transferred,PromotionCandidate,Promotion,Incentive,Retire
2012,lg0001,0,P2,4,1,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1973,N,A,N,N,N,0,Bachelor,N,N,3,N,N,A,1,N,Y,N,0,0
2012,lg0002,1,P2,3,3,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,T1,N,N,N,0,Bachelor,N,N,0,N,N,A,1,N,N,N,1,0
2012,lg0003,1,P3,6,3,Current_employee,Female,R&D,Seocho R&D Campus(LGEKR),1974,N,A,N,N,N,0,Bachelor,N,N,0,N,N,A,1,N,Y,N,1,0
2012,lg0004,1,P2,2,2,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,A,N,N,N,0,Bachelor,N,N,9,N,N,A,1,N,N,N,1,0
2012,lg0005,1,P1,1,1,Current_employee,Female,R&D,Seocho R&D Campus(LGEKR),1983,N,T1,N,N,N,0,Bachelor,N,N,0,N,N,A,0,N,N,N,1,0
2012,lg0006,1,P2,2,8,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,T1,N,N,N,0,Bachelor,N,N,7,N,N,A,0,N,N,N,1,0
2012,lg0007,1,P3,6,7,Current_employee,Female,R&D,Seocho R&D Campus(LGEKR),1973,N,T1,N,N,N,0,Master,N,N,0,N,Y,A,1,N,Y,N,2,0
2012,lg0008,1,P3,6,1,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1973,N,T3,N,N,N,0,Bachelor,N,N,12,N,N,A,1,N,Y,N,0,0
2012,lg0009,1,P2,4,1,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1975,N,A,N,N,N,0,Master,N,N,0,N,N,A,1,N,Y,N,0,0
2012,lg0010,1,P3,5,0,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1969,N,A,N,N,N,0,Master,N,N,0,N,N,A,1,N,N,N,1,0
2012,lg0011,1,P3,6,0,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1973,N,T2,N,N,N,0,Bachelor,N,N,11,N,N,A,1,N,Y,N,2,0
2012,lg0012,1,P3,6,9,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1974,N,T1,N,N,N,0,Master,N,N,8,N,N,A,0,N,Y,N,0,0
2012,lg0013,1,P3,6,8,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,T1,N,N,N,0,Master,N,N,8,N,N,A,1,N,Y,N,0,0
2012,lg0014,1,P2,4,8,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,T1,N,N,N,0,Master,N,N,5,N,N,A,0,N,Y,Y,0,0
2012,lg0015,1,P3,5,2,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,T4,N,N,N,0,Bachelor,N,N,1,N,N,A,1,N,Y,N,0,0
2012,lg0016,1,P3,7,1,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1970,N,T3,N,N,N,0,Bachelor,N,N,10,N,N,A,1,N,Y,N,0,0
2012,lg0017,1,P3,3,0,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1970,N,T2,N,N,N,0,Bachelor,N,N,0,N,N,A,1,N,N,N,1,0
2012,lg0018,1,A,1,29,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1957,N,A,N,N,N,0,Doctor,N,N,28,N,N,B,0,N,N,N,0,0
2012,lg0019,0,P1,3,2,Current_employee,Male,R&D,Twin B/D(LGEKR),1983,N,A,N,N,N,0,Bachelor,N,N,1,N,N,A,0,N,N,N,0,0
2012,lg0020,1,P3,7,11,Current_employee,Male,R&D,Twin B/D(LGEKR),1971,N,T1,N,N,N,0,Master,N,N,11,N,N,A,0,N,Y,N,0,0
2012,lg0021,1,P2,1,7,Current_employee,Male,R&D,Twin B/D(LGEKR),1976,N,T2,N,N,N,0,Master,N,N,8,N,N,A,0,N,N,N,0,0
2012,lg0022,1,P1,4,3,Current_employee,Female,R&D,Twin B/D(LGEKR),1985,N,T3,N,N,N,0,Bachelor,N,N,0,N,N,A,0,N,Y,Y,0,0
2012,lg0023,1,P3,5,1,Current_employee,Male,R&D,Twin B/D(LGEKR),1975,N,T1,N,N,N,0,Master,N,N,7,N,N,A,1,N,Y,N,0,0
2012,lg0024,1,P3,5,0,Current_employee,Male,R&D,Twin B/D(LGEKR),1975,N,T1,N,N,N,0,Master,N,N,0,N,N,A,1,N,Y,N,0,0
2012,lg0025,1,P3,3,16,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1969,N,A,N,N,N,0,Master,N,N,17,N,Y,A,0,N,N,N,1,0
2012,lg0026,1,P3,9,16,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1968,N,T4,N,N,N,0,Bachelor,N,N,9,N,N,A,0,N,Y,N,0,0
2012,lg0027,1,P3,5,9,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1972,N,T1,N,N,N,0,Master,N,N,8,N,N,A,0,N,Y,N,0,0
2012,lg0028,1,P3,5,9,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1976,N,T2,N,N,N,0,Master,N,N,9,N,N,A,0,N,Y,N,1,0
2012,lg0029,1,P2,3,8,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1977,N,T4,N,N,N,0,Bachelor,N,N,4,N,N,A,0,N,N,N,1,0
2012,lg0030,1,P2,4,6,Current_employee,Male,R&D,Seocho R&D Campus(LGEKR),1979,N,T1,N,N,N,0,Bachelor,N,N,2,N,N,A,1,N,Y,Y,1,0
