Date,Seoul / Temperature,Seoul / Precipitation,Seoul / Wind Speed,Seoul / Humidity,Seoul / Local Pressure,Seoul / Surface pressure,Seoul / Sunshine,Seoul / Solar radiation,Daegu / Temperature,Daegu / Precipitation,Daegu / Wind Speed,Daegu / Humidity,Daegu / Local Pressure,Daegu / Surface pressure,Daegu / Sunshine,Daegu / Solar radiation,Busan / Temperature,Busan / Precipitation,Busan / Wind Speed,Busan / Humidity,Busan / Local Pressure,Busan / Surface pressure,Busan / Sunshine,Busan / Solar radiation,Geoje / Temperature,Geoje / Precipitation,Geoje / Wind Speed,Geoje / Humidity,Geoje / Local Pressure,Geoje / Surface pressure,Geoje / Sunshine
2003-08-01 1:00,24.5,,1,85,995.8,1005.6,,,21.5,,3.6,78,1000.4,1007,,,20.5,,2.3,82,998.9,1006.9,,,21.5,,1.7,72,1001.5,1006.7,
2003-08-01 2:00,24.4,,0.8,84,,,,,21.3,,3,79,,,,,20.6,,2.1,82,,,,,21.1,,0.6,73,,,
2003-08-01 3:00,24.1,,1.6,85,995.8,1005.6,,,21.4,,2.6,79,1000.4,1007,,,20.6,,2.5,81,998.9,1006.9,,,20.8,,1,74,1001.5,1006.7,
2003-08-01 4:00,23.8,,0.6,86,,,,,21.3,,2.1,82,,,,,20,,1.9,82,,,,,20.2,,0.8,76,,,
2003-08-01 5:00,23.9,,1.4,84,,,,,21.2,,1.9,82,,,,,20.2,,1.7,80,,,,,19.1,,0,80,,,
2003-08-01 6:00,23.7,,0.9,85,996.3,1006.1,0,0.44,21,,2.1,83,1000.8,1007.4,0,0.23,20.3,,1.4,81,999.2,1007.3,0,0,18.8,,0,82,1002,1007.2,0
2003-08-01 7:00,23.9,,1,85,,,0,0.18,21.1,,2.5,83,,,0,0.16,20.7,,1.1,80,,,0,0.1,21.1,,0.8,75,,,0.1
2003-08-01 8:00,24.7,,1.1,79,,,0,0.46,21.6,,2.8,78,,,0,0.4,21.7,,0.9,77,,,0.1,0.51,22.8,,2,69,,,1
2003-08-01 9:00,24.9,,2,78,996.7,1006.5,0,0.37,22.8,,2,75,1001,1007.5,0,0.85,23.2,,1,72,999.4,1007.4,0.6,1.36,24.1,,2,65,1002,1007.2,1
2003-08-01 10:00,25.5,,1,73,,,0,0.67,24.5,,1.5,72,,,0.2,1.56,25.1,,1.8,71,,,1,2.18,24.8,,1.6,65,,,1
2003-08-01 11:00,26.9,,1.2,65,,,0.3,1.71,26,,2,68,,,1,2.66,26,,1.3,67,,,1,2.69,25.7,,2.3,63,,,1
2003-08-01 12:00,27.7,,2.8,66,995.8,1005.4,0.2,1.83,27.3,,2.7,61,999.6,1006.1,1,2.92,26.5,,1.4,64,999.2,1007.1,1,3.14,26.5,,1.5,61,1001.5,1006.5,1
2003-08-01 13:00,28.2,,2.3,66,,,0,1.47,29.1,,1.2,58,,,1,3.01,27,,1.1,65,,,1,3.27,26.8,,1.8,62,,,1
2003-08-01 14:00,28.2,,2.9,65,,,0,1.38,29.8,,2.8,53,,,1,2.82,27.5,,3.6,67,,,1,2.66,27.2,,2.4,63,,,1
2003-08-01 15:00,28.6,,1.9,65,995,1004.6,0.1,1.46,30.5,,0.9,53,998.4,1004.7,0.4,1.55,26.7,,3,69,998.4,1006.2,1,2.59,27.3,,1.4,63,1000.5,1005.6,1
2003-08-01 16:00,28.2,,2.5,69,,,0,0.92,31.2,,1.2,53,,,0.6,1.46,25.7,,3,74,,,1,1.88,28.6,,1.4,62,,,1
2003-08-01 17:00,27.9,,2.8,71,,,0,0.87,31.2,,3.2,52,,,1,1.63,25.8,,2.6,72,,,1,1.72,27.5,,1.9,64,,,1
2003-08-01 18:00,27.5,,2.6,73,994.4,1004.1,0,0.86,29.9,,2.9,54,998,1004.3,0.9,0.82,24.2,,2.1,83,998,1005.9,0.6,0.59,25.8,,0.5,69,1000,1005,0.6
2003-08-01 19:00,26.8,,2.2,77,,,0,0.32,28.7,,2.6,61,,,0,0.21,23.2,,0.3,82,,,0,0.03,24,,0.9,76,,,0.1
2003-08-01 20:00,26,,2,81,,,0,0.16,27.8,,1,65,,,0,0.03,22.5,,1.3,85,,,0,0,22.7,,0,78,,,0
2003-08-01 21:00,25.6,,2.5,82,995,1004.7,,,27,,0.6,70,999.3,1005.7,,,22.2,,1.3,86,999,1007,,,21.8,,0,81,1001.5,1006.6,
2003-08-01 22:00,24.9,,1.1,85,,,,,25.7,,1.2,75,,,,,22.3,,0.6,85,,,,,21.5,,0,80,,,
2003-08-01 23:00,24.5,,1.6,85,,,,,26,,1.6,75,,,,,21.7,,0.6,85,,,,,20.6,,0,81,,,
2003-08-02 0:00,24,0,2.9,84,996.1,1005.9,,,24.9,,0.8,81,999.8,1006.3,,,22,,0,84,998.9,1006.9,,,20.2,,0,83,1001.5,1006.8,
2003-08-02 1:00,23.9,0,2.6,76,,,,,24.3,,0.9,81,,,,,21.8,,0.5,85,,,,,20.2,,0,83,,,
2003-08-02 2:00,23,0.5,0.7,85,,,,,24,,1.1,82,,,,,21.7,,1.7,89,,,,,20.6,,0,83,,,
2003-08-02 3:00,22.4,2,0,90,994.9,1004.8,,,23.5,,1,84,999.5,1006,,,21.5,,1.5,86,998.9,1006.9,,,21.1,,0.1,82,1001.5,1006.6,
2003-08-02 4:00,22.5,0,1.4,90,,,,,23.2,,0.7,84,,,,,21.7,,2,88,,,,,20.8,,0.4,83,,,
2003-08-02 5:00,22,2,0.3,91,,,,,22.4,,0.9,88,,,,,22.2,,2.3,84,,,,,20.2,,0.2,83,,,
2003-08-02 6:00,22.2,0,0,92,996.3,1006.2,0,0.44,22.6,,0.9,87,1000.2,1006.8,0,0.07,22.3,,2.2,85,998.5,1006.6,0,0,20.5,,0,86,1001.4,1006.5,0
2003-08-02 7:00,21.8,13,1,93,,,0,0.1,23.4,,0.9,83,,,0,0.32,23.1,,3.9,82,,,0.4,0.3,22,,0.2,82,,,0
2003-08-02 8:00,22.4,0,0.8,94,,,0,0.28,24.2,,1.2,77,,,0.5,0.8,24.2,,3.1,78,,,0.9,0.54,23,,0.5,79,,,0
2003-08-02 9:00,22.9,0,1.2,92,995.7,1005.5,0,0.43,26.4,,1.1,70,1000.3,1006.8,1,1.57,25.5,,3.7,76,999,1006.9,1,1.8,24.2,,1.4,76,1001.7,1006.8,0.1
2003-08-02 10:00,24.1,,1.4,85,,,0,0.84,27.5,,1.3,64,,,0.6,1.64,26.6,,4.1,74,,,1,2.37,26.5,,1.3,70,,,1
2003-08-02 11:00,25.8,,1.3,71,,,0,1.49,28.8,,2,55,,,0.9,2.53,27.3,,3.4,72,,,1,2.58,27.5,,2.4,66,,,1
2003-08-02 12:00,26,,1.2,74,996,1005.7,0,0.6,29.9,,2.2,53,999.4,1005.8,0.9,2.8,27.2,,6.9,74,999,1006.8,1,3.09,27.7,,2.4,66,1001.4,1006.4,1
2003-08-02 13:00,26.2,,2.1,74,,,0,0.59,30.8,,2.6,50,,,0.8,2.8,27.8,,6.1,72,,,1,3.32,27.7,,3.3,67,,,1
2003-08-02 14:00,27.8,,1.5,64,,,0.1,1.64,31.3,,2.8,51,,,0.5,2.32,28.5,,6.3,73,,,1,2.75,28.8,,2.1,65,,,1
2003-08-02 15:00,28.2,,2.6,64,995.2,1004.9,0.1,1.48,30.9,,2.8,50,999,1005.3,0,1.15,28.8,,4.7,69,998.7,1006.6,1,2.54,28.2,,2.1,66,1001.4,1006.4,1
2003-08-02 16:00,28.8,,1.8,60,,,0.1,1.49,31.4,,2.8,51,,,0.1,1.45,28.7,,5.5,72,,,1,2.22,28.6,,1.9,66,,,1
2003-08-02 17:00,28.1,,2.6,67,,,0,0.72,31.3,,3.2,51,,,0.9,1.58,27.7,,5.1,77,,,0.8,1.45,27.8,,1.6,68,,,1
2003-08-02 18:00,27.5,,2.6,74,995.3,1004.9,0,0.44,31,,2.4,53,998.9,1005.3,0.9,0.8,27.1,,4.8,79,999.2,1007,0.5,0.66,27.6,,0.9,69,1001.7,1006.7,0.4
2003-08-02 19:00,26.8,,2.7,75,,,0,0.34,29.7,,1.9,62,,,0.4,0.33,26.1,,5.6,82,,,0,0.11,26.5,,1.2,75,,,0
2003-08-02 20:00,26.3,,2,78,,,0,0.11,28.7,,1.9,66,,,0,0.04,25.6,,5.1,82,,,0,0,26.1,,0.9,76,,,0
2003-08-02 21:00,25.4,1.5,0.3,86,996.6,1006.4,,,28.1,,2.6,66,1000.9,1007.3,,,25.3,,4.4,84,1000.5,1008.4,,,25.7,,1.5,78,1002.7,1007.9,
2003-08-02 22:00,25.4,,2.4,87,,,,,27.4,,1.4,71,,,,,25.1,,2.6,84,,,,,25.5,,2.4,80,,,
2003-08-02 23:00,25.4,,1.8,85,,,,,26.8,,0.6,74,,,,,24.7,,2.4,87,,,,,25.1,,1.8,80,,,
2003-08-03 0:00,25.5,,1.6,85,997.1,1006.8,,,26.4,,2.1,73,1001.5,1008,,,24.6,,2.5,87,1000.7,1008.6,,,25.7,,1.8,79,1003,1008.2,
2003-08-03 1:00,25,2,1.4,91,,,,,25.9,,0.9,75,,,,,24.6,,3,86,,,,,25.7,,1.3,80,,,
2003-08-03 2:00,25,1,2.3,91,,,,,25.3,,1,80,,,,,24.3,,2.5,87,,,,,25.7,,2.5,80,,,
2003-08-03 3:00,24.5,10,1.9,93,996.1,1005.9,,,24.9,,1,82,1000.8,1007.2,,,24.3,,2.8,89,999.7,1007.7,,,25.7,,3,82,1002.2,1007.3,
2003-08-03 4:00,24.5,13,2.2,94,,,,,24.7,,1.4,83,,,,,24.6,,3.5,91,,,,,25.7,,2.5,83,,,
2003-08-03 5:00,24.7,0,2.6,92,,,,,24.5,,0.3,83,,,,,24.8,,3.5,91,,,,,25.5,,2.1,84,,,
2003-08-03 6:00,24.7,,2,92,996.3,1006.1,0,0.46,24.5,,0,84,1001.6,1008.1,0,0.04,25,,2.9,92,1000.4,1008.3,0,0,25.6,,2.5,84,1002.7,1007.8,0
2003-08-03 7:00,24.4,0.5,2.6,93,,,0,0.1,25.5,,0,78,,,0,0.28,25.2,,2.3,90,,,0,0.14,26.2,,1.8,79,,,0
2003-08-03 8:00,24.4,0.5,2,94,,,0,0.14,26.5,,1.8,77,,,0.7,0.79,26,,2.5,87,,,0.3,0.53,26.6,,2.2,78,,,0.7
2003-08-03 9:00,24.5,1,2.3,94,997.1,1006.9,0,0.28,27.7,,1.3,74,1001.6,1008,0.4,1.21,26.5,,3,86,1000.4,1008.3,0.2,0.77,27.8,,2.4,74,1003,1008,1
2003-08-03 10:00,24.5,0,1.2,94,,,0,0.25,28.9,,1.2,70,,,0.6,1.65,27.3,,3.4,80,,,0.2,1.26,28.3,,3.1,73,,,1
2003-08-03 11:00,24.7,0.5,2.5,93,,,0,0.37,29.7,,1.8,64,,,0.8,2.18,28.1,,5.4,80,,,0.5,1.81,27.8,,3.5,74,,,1
2003-08-03 12:00,24.7,0.5,1.6,93,997.3,1007.1,0,0.47,31,,2.4,61,1001.1,1007.5,0.5,2.03,27.7,,5.6,82,1000.7,1008.6,0.1,1.38,29,,3.3,72,1003,1008.1,1
2003-08-03 13:00,24.9,0,1.6,92,,,0,0.48,32.3,,2.8,55,,,0.7,2.29,29.2,,4.7,75,,,0.6,2.39,28.8,,3,72,,,1
2003-08-03 14:00,24.9,0,1.1,92,,,0,0.46,32.6,,2.6,53,,,0.7,2.36,29.7,,5.2,77,,,1,2.62,28.8,,2.8,72,,,1
