Year,Month,FromKorea,FromKoreaToJapan,Prop
2004,1,793478,164785,20.77%
2004,2,670447,142718,21.29%
2004,3,587629,112516,19.15%
2004,4,642413,120427,18.75%
2004,5,680185,115659,17.00%
2004,6,712260,116269,16.32%
2004,7,897234,160770,17.92%
2004,8,930573,170182,18.29%
2004,9,682244,113083,16.58%
2004,10,757538,122877,16.22%
2004,11,745887,128369,17.21%
2004,12,725697,120817,16.65%
2005,1,897406,174775,19.48%
2005,2,745998,148946,19.97%
2005,3,707058,130963,18.52%
2005,4,762096,122084,16.02%
2005,5,802497,114151,14.22%
2005,6,865693,133177,15.38%
2005,7,1020757,170420,16.70%
2005,8,1070289,193279,18.06%
2005,9,785549,130269,16.58%
2005,10,848088,146650,17.29%
2005,11,784031,140442,17.91%
2005,12,790681,142015,17.96%
2006,1,985287,192590,19.55%
2006,2,944596,174239,18.45%
2006,3,823918,149071,18.09%
2006,4,855083,162657,19.02%
2006,5,906482,161080,17.77%
2006,6,915942,153706,16.78%
2006,7,1098740,197622,17.99%
2006,8,1159874,220332,19.00%
2006,9,931946,156451,16.79%
2006,10,984649,187601,19.05%
2006,11,987488,177298,17.95%
2006,12,1015874,184678,18.18%
2007,1,1281530,240350,18.75%
2007,2,982591,202365,20.60%
2007,3,1046055,188721,18.04%
2007,4,989018,190558,19.27%
2007,5,1107498,211355,19.08%
2007,6,1064076,190330,17.89%
2007,7,1297398,254234,19.60%
2007,8,1308664,271377,20.74%
2007,9,1015650,201286,19.82%
2007,10,1078092,222737,20.66%
2007,11,1072557,218488,20.37%
2007,12,1081848,208893,19.31%
2008,1,1322909,271583,20.53%
2008,2,1132463,234876,20.74%
2008,3,983589,187474,19.06%
2008,4,1026750,203812,19.85%
2008,5,1099977,229043,20.82%
2008,6,1004715,195661,19.47%
2008,7,1135843,237947,20.95%
2008,8,1163809,248154,21.32%
2008,9,818747,159523,19.48%
2008,10,932716,188804,20.24%
2008,11,707012,117518,16.62%
2008,12,667564,108002,16.18%
2009,1,812901,129756,15.96%
2009,2,753642,106929,14.19%
2009,3,702043,108350,15.43%
2009,4,734681,113313,15.42%
2009,5,737396,117897,15.99%
2009,6,731137,104237,14.26%
2009,7,996695,170240,17.08%
2009,8,1041527,190987,18.34%
2009,9,658487,105470,16.02%
2009,10,714880,131195,18.35%
2009,11,721940,130371,18.06%
2009,12,888782,178027,20.03%
2010,1,1118261,232053,20.75%
2010,2,908103,197784,21.78%
2010,3,950185,169295,17.82%
2010,4,935904,189582,20.26%
2010,5,1023815,201484,19.68%
2010,6,997597,179088,17.95%
2010,7,1223723,236092,19.29%
2010,8,1235742,246882,19.98%
2010,9,1013123,193975,19.15%
2010,10,1055581,193829,18.36%
2010,11,1004902,197244,19.63%
2010,12,1021428,202508,19.83%
2011,1,1268007,268368,21.16%
2011,2,1091628,231640,21.22%
2011,3,868694,89121,10.26%
2011,4,867487,63790,7.35%
2011,5,1014409,84014,8.28%
2011,6,1053658,103817,9.85%
2011,7,1241629,140053,11.28%
2011,8,1247222,147030,11.79%
2011,9,1013507,122436,12.08%
2011,10,1032589,132259,12.81%
2011,11,974255,134009,13.76%
2011,12,1020648,141536,13.87%
2012,1,1200782,173000,14.41%
2012,2,1150334,169025,14.69%
2012,3,1018952,150291,14.75%
2012,4,1018645,152323,14.95%
2012,5,1096950,157141,14.33%
2012,6,1109273,152131,13.71%
2012,7,1305418,189701,14.53%
2012,8,1334651,201764,15.12%
2012,9,1059709,145742,13.75%
2012,10,1154742,168150,14.56%
2012,11,1117550,183557,16.42%
2012,12,1169970,199950,17.09%
